cluster,pathway,go_min_level,go_max_level,selected_gene_count,mapped_selected_gene_count,background_size,pathway_size,overlap_count,overlap_genes,gene_ratio,p_value,adjusted_p_value,significant_fdr_0_05
0,GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,8,10,75,74,18000,74,4,TYROBP;CCL3;PIK3R1;FOS,0.05405405405405406,2.4359535184205724e-4,0.013903673158985113,TRUE
0,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II,6,6,75,74,18000,31,3,B2M;CD74;FCER1G,0.04054054054054054,2.7600294664314274e-4,0.015582166357222647,TRUE
0,GOBP_FOREBRAIN_DEVELOPMENT,4,4,75,74,18000,414,8,B2M;ZEB2;SYNE2;TYROBP;NR4A2;BTG2;ATRX;FOS,0.10810810810810811,2.9284159267439877e-4,0.01635504550914868,TRUE
0,GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,6,6,75,74,18000,222,6,B2M;FCER1G;KLRD1;CD69;TBX21;JUNB,0.08108108108108109,3.0298400058447275e-4,0.01660208955573856,TRUE
0,GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS,7,9,75,74,18000,32,3,CCL5;DUSP1;CX3CR1,0.04054054054054054,3.036577797064234e-4,0.01660208955573856,TRUE
0,GOBP_NEURON_APOPTOTIC_PROCESS,6,6,75,74,18000,318,7,CX3CR1;CCL3;HIPK2;NR4A2;BTG2;MCL1;JUN,0.0945945945945946,3.2851155127009666e-4,0.01777384372184252,TRUE
0,GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,7,10,75,74,18000,146,5,B2M;SPON2;CD74;FCER1G;TBX21,0.06756756756756757,3.3676144875094475e-4,0.018032360461983577,TRUE
0,GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION,9,11,75,74,18000,82,4,CD69;TBX21;JUNB;PRDM1,0.05405405405405406,3.612278969351058e-4,0.01914507853756061,TRUE
0,GOBP_LEUKOCYTE_DEGRANULATION,4,9,75,74,18000,83,4,NKG7;FCER1G;FCGR3A;CCL3,0.05405405405405406,3.783450601821329e-4,0.019849739824100994,TRUE
0,GOBP_RESPONSE_TO_CORTICOSTEROID,6,7,75,74,18000,153,5,ZFP36L2;DUSP1;ZFP36;FOSB;FOS,0.06756756756756757,4.175844512636115e-4,0.021605634601887386,TRUE
