leiden_0_4,marker_direction,marker_rank,gene,scores,logfoldchanges,pvals_adj,pct_nz_group,pct_nz_reference
14,down,20,PRDM1,-32.4173,-2.5494738,2.8732195978454936e-229,0.07752232566977,0.2705948337643722
14,down,21,RORA,-31.62885,-1.833608,2.5545578821740425e-218,0.1751852555576667,0.3666812077400056
14,down,22,GZMH,-31.387135,-1.5299411,5.05253918807163e-215,0.3300399011970359,0.5172374037952201
14,down,23,PRSS23,-29.34433,-2.5055692,4.480382202521221e-188,0.0649819494584837,0.2302963263016857
14,down,24,CX3CR1,-29.177187,-2.4283109,5.948261134980731e-186,0.075052251567547,0.241544885177453
14,down,25,HIPK2,-27.720999,-2.0732155,5.776270333153904e-168,0.1043131293938818,0.2606300439348144
14,down,26,FCRL6,-27.668152,-2.2230856,2.482443358646365e-167,0.076952308569257,0.2315427040164522
14,down,27,GZMA,-27.456818,-0.92892486,8.348300491782866e-165,0.703971119133574,0.7902470943819524
14,down,28,MTSS1,-27.310379,-2.5194619,4.5623423673331426e-163,0.0505415162454873,0.1987411585080858
14,down,29,CEMIP2,-25.86099,-1.6195394,2.4736238295912963e-146,0.1584647539426182,0.3088866731062848
14,down,30,AKR1C3,-25.665472,-2.8678474,3.8134736956025485e-144,0.0338210146304389,0.1622409871311501
14,down,31,ADGRG1,-24.625525,-1.5484126,8.468710273635978e-133,0.1634049021470644,0.2997102171813168
14,down,32,GNPTAB,-24.57175,-1.1927928,3.165991535077977e-132,0.2798783963518905,0.4129592122892843
14,down,33,SYNGR1,-24.28757,-2.7387888,3.254821504595776e-129,0.0294508835265057,0.1475586576512011
14,down,34,PTGDS,-24.10946,-4.6476645,2.4258527678060927e-127,0.0098802964088922,0.1157043592060574
14,down,35,IFNG,-23.438255,-2.1591387,2.061343437848431e-120,0.0611818354550636,0.1834574517807621
14,down,36,KIR2DL3,-23.24809,-2.8989227,1.7496460675335645e-118,0.0220406612198365,0.1296232823357118
14,down,37,LMNB1,-22.499884,-2.089176,4.702332181533258e-111,0.0570017100513015,0.1708815006387685
